Speed_kmh,Acceleration_ms2,Braking_Pattern,Distance_Driven_km,Location_History,Vehicle_Make,Vehicle_Model,Vehicle_Year,Safety_Features,Past_Claims,Previous_Policy_Lapses,Accident_History,Road_Conditions,Weather_Data,Traffic_Congestion,Current_Premium,Policy_Type,Deductibles,Dynamic_Premium
85,2.33,Moderate,2697,Rural,Tesla,SUV,2005,Standard,3,2,Minor,Moderate,Snow,Moderate,7058,Comprehensive,4367,21100
30,1.13,Smooth,5044,Urban,Chevrolet,Sedan,2002,Standard,4,0,None,Good,Clear,High,35531,Third-Party,1432,68630
87,2.35,Smooth,27254,Urban,Honda,Convertible,2013,Standard,3,0,None,Poor,Fog,High,11268,Comprehensive,1594,29438
104,3.35,Moderate,22608,Rural,Ford,SUV,2008,Standard,4,0,None,Moderate,Rain,Low,26514,Pay-As-You-Drive,1297,82298
38,3.26,Smooth,20964,Highway,BMW,Hatchback,2002,Basic,4,0,None,Good,Clear,High,16199,Third-Party,969,40993
92,3.07,Harsh,26998,Highway,Mercedes,SUV,2013,Basic,4,2,None,Moderate,Clear,High,10835,Third-Party,4867,36124
81,2.75,Smooth,4922,Suburban,Honda,Coupe,2015,Basic,2,2,Minor,Poor,Clear,Low,39706,Pay-As-You-Drive,3529,117583
107,0.51,Smooth,14028,Urban,Mercedes,Hatchback,2021,Basic,0,0,None,Good,Rain,High,5602,Pay-As-You-Drive,1860,11314
111,2.95,Smooth,26348,Rural,Mercedes,Truck,2022,Standard,4,1,None,Poor,Clear,Moderate,10175,Third-Party,2465,33186
59,3.82,Harsh,25264,Suburban,Chevrolet,Hatchback,2018,Standard,1,1,Major,Moderate,Fog,Moderate,13025,Third-Party,3237,35780
84,3.27,Smooth,27623,Highway,Ford,Sedan,2021,Basic,3,0,None,Good,Clear,Low,26969,Third-Party,4632,75987
32,0.8,Smooth,24654,Highway,BMW,Coupe,2015,Advanced,3,1,Minor,Moderate,Clear,Low,32404,Pay-As-You-Drive,4829,63722
115,1.07,Smooth,26452,Urban,Tesla,Hatchback,2006,Standard,0,1,None,Moderate,Fog,Moderate,42447,Pay-As-You-Drive,958,102923
82,2.82,Smooth,14081,Highway,Tesla,Truck,2007,Standard,2,0,None,Good,Fog,High,44272,Comprehensive,3103,114603
113,1.9,Smooth,17082,Urban,BMW,Truck,2008,Advanced,3,0,None,Good,Clear,Low,48026,Pay-As-You-Drive,4988,130515
119,1.83,Smooth,23227,Rural,Chevrolet,Hatchback,2009,Standard,1,1,None,Good,Clear,High,6012,Pay-As-You-Drive,4058,16531
118,3.15,Smooth,7599,Highway,Mercedes,Coupe,2012,Standard,0,2,Minor,Moderate,Clear,High,13643,Comprehensive,1058,43276
112,1.32,Smooth,14343,Rural,Toyota,SUV,2022,Basic,3,2,None,Good,Snow,Low,37892,Comprehensive,861,112257
101,3.27,Smooth,25139,Suburban,Ford,Convertible,2018,Basic,0,1,None,Moderate,Clear,Low,7686,Comprehensive,2237,21980
48,1.47,Moderate,8347,Rural,Tesla,Convertible,2016,Advanced,1,0,None,Moderate,Fog,Low,7535,Third-Party,2009,14064
51,1.12,Smooth,18444,Urban,Tesla,Truck,2014,Advanced,4,2,None,Moderate,Clear,Moderate,16513,Third-Party,4352,41344
67,0.65,Smooth,24360,Urban,Toyota,Truck,2003,Basic,4,0,None,Good,Snow,Moderate,29250,Comprehensive,3650,62034
77,2.61,Harsh,4151,Rural,Honda,Hatchback,2007,Standard,3,0,None,Poor,Fog,Low,12226,Comprehensive,3575,31729
111,1.87,Smooth,28005,Suburban,Tesla,Hatchback,2005,Basic,0,2,None,Good,Clear,Moderate,27362,Comprehensive,1858,76409
63,2.99,Moderate,6475,Urban,Tesla,Coupe,2004,Standard,2,2,None,Moderate,Clear,Moderate,8517,Comprehensive,1869,24459
110,2.17,Moderate,15846,Highway,Ford,Coupe,2007,Standard,1,2,None,Moderate,Snow,Moderate,48361,Third-Party,4368,143068
100,0.54,Smooth,13728,Rural,Honda,Truck,2018,Advanced,0,2,Major,Moderate,Clear,Moderate,17872,Pay-As-You-Drive,1096,42323
94,3.48,Moderate,6772,Urban,Toyota,SUV,2018,Advanced,3,2,None,Moderate,Rain,Moderate,11504,Comprehensive,1725,38570
45,0.74,Moderate,12180,Rural,Chevrolet,SUV,2010,Standard,2,0,Minor,Good,Rain,Moderate,23296,Third-Party,1796,40996
102,3.37,Harsh,8825,Suburban,BMW,Truck,2019,Basic,1,0,Major,Good,Clear,Low,13692,Comprehensive,3671,38247
115,2.41,Moderate,4851,Highway,Ford,Truck,2015,Standard,4,1,None,Good,Clear,Moderate,6780,Pay-As-You-Drive,2394,21433
83,3.2,Smooth,28554,Highway,BMW,Truck,2011,Standard,1,2,None,Good,Snow,Moderate,46756,Third-Party,4072,139929
103,2.53,Smooth,2793,Highway,Mercedes,Coupe,2005,Standard,3,1,None,Good,Clear,High,28667,Pay-As-You-Drive,2193,85709
76,3.91,Smooth,8183,Rural,Toyota,Convertible,2012,Standard,3,1,None,Moderate,Clear,Low,29026,Third-Party,3233,90293
62,3.24,Smooth,11074,Suburban,Honda,Hatchback,2018,Standard,1,2,None,Poor,Clear,High,22957,Third-Party,1177,64882
