Speed_kmh,Acceleration_ms2,Distance_Driven_km,Vehicle_Year,Past_Claims,Previous_Policy_Lapses,Current_Premium,Deductibles,Dynamic_Premium,Safety_Features_Advanced,Safety_Features_Basic,Safety_Features_Standard,Policy_Type_Comprehensive,Policy_Type_Pay-As-You-Drive,Policy_Type_Third-Party,Braking_Pattern_Harsh,Braking_Pattern_Moderate,Braking_Pattern_Smooth,Location_History_Highway,Location_History_Rural,Location_History_Suburban,Location_History_Urban,Vehicle_Make_BMW,Vehicle_Make_Chevrolet,Vehicle_Make_Ford,Vehicle_Make_Honda,Vehicle_Make_Mercedes,Vehicle_Make_Tesla,Vehicle_Make_Toyota,Vehicle_Model_Convertible,Vehicle_Model_Coupe,Vehicle_Model_Hatchback,Vehicle_Model_SUV,Vehicle_Model_Sedan,Vehicle_Model_Truck,Accident_History_Major,Accident_History_Minor,Accident_History_None,Road_Conditions_Good,Road_Conditions_Moderate,Road_Conditions_Poor,Weather_Data_Clear,Weather_Data_Fog,Weather_Data_Rain,Weather_Data_Snow,Traffic_Congestion_High,Traffic_Congestion_Low,Traffic_Congestion_Moderate
85,2.33,2697,2005,3,2,7058,4367,21100,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True
30,1.13,5044,2002,4,0,35531,1432,68630,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False,False
87,2.35,27254,2013,3,0,11268,1594,29438,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False
104,3.35,22608,2008,4,0,26514,1297,82298,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False
38,3.26,20964,2002,4,0,16199,969,40993,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False
92,3.07,26998,2013,4,2,10835,4867,36124,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False
81,2.75,4922,2015,2,2,39706,3529,117583,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False
107,0.51,14028,2021,0,0,5602,1860,11314,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False
111,2.95,26348,2022,4,1,10175,2465,33186,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,True
59,3.82,25264,2018,1,1,13025,3237,35780,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True
84,3.27,27623,2021,3,0,26969,4632,75987,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False
32,0.8,24654,2015,3,1,32404,4829,63722,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False
115,1.07,26452,2006,0,1,42447,958,102923,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True
82,2.82,14081,2007,2,0,44272,3103,114603,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False
113,1.9,17082,2008,3,0,48026,4988,130515,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False
119,1.83,23227,2009,1,1,6012,4058,16531,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False
118,3.15,7599,2012,0,2,13643,1058,43276,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False
112,1.32,14343,2022,3,2,37892,861,112257,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False
101,3.27,25139,2018,0,1,7686,2237,21980,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False
48,1.47,8347,2016,1,0,7535,2009,14064,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
51,1.12,18444,2014,4,2,16513,4352,41344,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True
67,0.65,24360,2003,4,0,29250,3650,62034,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,True
77,2.61,4151,2007,3,0,12226,3575,31729,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False
111,1.87,28005,2005,0,2,27362,1858,76409,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True
63,2.99,6475,2004,2,2,8517,1869,24459,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True
110,2.17,15846,2007,1,2,48361,4368,143068,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True
100,0.54,13728,2018,0,2,17872,1096,42323,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,True
94,3.48,6772,2018,3,2,11504,1725,38570,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True
45,0.74,12180,2010,2,0,23296,1796,40996,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True
102,3.37,8825,2019,1,0,13692,3671,38247,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False
115,2.41,4851,2015,4,1,6780,2394,21433,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True
83,3.2,28554,2011,1,2,46756,4072,139929,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,True
103,2.53,2793,2005,3,1,28667,2193,85709,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False
76,3.91,8183,2012,3,1,29026,3233,90293,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False
62,3.24,11074,2018,1,2,22957,1177,64882,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False
80,3.0,12624,2010,3,0,36528,4801,99230,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True
